TIME;TIME(s);LAT;LON;H;RHO;THETA;MODE 3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;BAR;IVV;TN;HEADING;STAT_230
00:01:03:180;63;41,55560100;1,50068876;11581,9647119073;31,796875;299,586182;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;102,65625;269;32;-64;1340;109,4238;No alert, no SPI, aircraft airbone;
00:01:07:180;67;41,55269560;1,51321489;11581,9840484746;31,230469;299,816895;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;101,777344;269;64;-96;1340;109,0833;No alert, no SPI, aircraft airbone;
00:01:11:172;71;41,54987157;1,52572509;11582,0029843273;30,667969;300,064087;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,898438;269;192;-96;1340;108,8525;No alert, no SPI, aircraft airbone;
00:01:15:172;75;41,54695849;1,53809130;11582,0212169904;30,109375;300,305786;5307;380;7380C0;ELY028;1013;-5,449;107,227;526;-0,188;480;100,019531;269;64;-96;1340;108,7042;No alert, no SPI, aircraft airbone;
00:01:19:172;79;41,54408586;1,55051493;11582,0391511582;29,550781;300,563965;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;269;128;-64;1340;108,5559;No alert, no SPI, aircraft airbone;
00:01:23:180;83;41,54128713;1,56289840;11574,4366500815;28,996094;300,838623;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,140625;268;0;-64;1340;108,3746;No alert, no SPI, aircraft airbone;
00:01:27:180;87;41,53842942;1,57528957;11574,453713702;28,441406;301,118774;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;268;-32;0;1340;108,2318;No alert, no SPI, aircraft airbone;
00:01:31:188;91;41,53573525;1,58763677;11574,4703896604;27,894531;301,426392;5307;379,75;7380C0;ELY028;1013;0,352;106,523;524;0;476;99,316406;267;64;0;1340;108,0286;No alert, no SPI, aircraft airbone;
00:01:35:188;95;41,53297984;1,60007474;11574,4867482428;27,34375;301,744995;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;-96;0;1340;107,8473;No alert, no SPI, aircraft airbone;
00:01:39:195;99;41,53033308;1,61243149;11574,5026343605;26,800781;302,085571;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;96;0;1340;107,6715;No alert, no SPI, aircraft airbone;
00:01:43:203;103;41,52757612;1,62484365;11574,5181224747;26,253906;302,431641;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;64;0;1340;107,5397;No alert, no SPI, aircraft airbone;
00:01:47:203;107;41,52480131;1,63720636;11582,1531195166;25,710938;302,788696;5307;380;7380C0;ELY028;1013;-0,176;106,699;524;0;478;99,492188;268;0;0;1340;107,4463;No alert, no SPI, aircraft airbone;
00:01:51:211;111;41,52209787;1,64951524;11574,5476715667;25,171875;303,167725;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;0;1340;107,3419;No alert, no SPI, aircraft airbone;
00:01:55:219;115;41,51935954;1,66187174;11574,5618547229;24,632812;303,563232;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;32;1340;107,265;No alert, no SPI, aircraft airbone;
00:01:59:219;119;41,51665584;1,67420530;11574,5756143797;24,097656;303,980713;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;96;0;1340;107,1826;No alert, no SPI, aircraft airbone;
00:02:03:227;123;41,51387941;1,68653177;11574,5889173364;23,5625;304,40918;5307;379,75;7380C0;ELY028;1013;0;106,523;522;0;478;99,492188;268;-64;0;1340;107,1606;No alert, no SPI, aircraft airbone;
00:02:07:227;127;41,51115059;1,69885432;11574,6018285118;23,03125;304,865112;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;32;32;1340;106,5619;No alert, no SPI, aircraft airbone;
00:02:11:234;131;41,50847420;1,71121571;11582,2343969345;22,503906;305,354004;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;0;32;1340;106,5399;No alert, no SPI, aircraft airbone;
00:02:15:242;135;41,50580354;1,72351419;11582,246486214;21,980469;305,864868;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;0;0;1340;106,5894;No alert, no SPI, aircraft airbone;
00:02:19:250;139;41,50302538;1,73578816;11582,258088978;21,457031;306,386719;5307;380;7380C0;ELY028;1013;0,176;106,523;522;0;478;99,667969;268;32;0;1340;106,6278;No alert, no SPI, aircraft airbone;
00:02:23:258;143;41,50027729;1,74806285;11582,2692992156;20,9375;306,941528;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;268;0;-32;1340;106,6498;No alert, no SPI, aircraft airbone;
00:02:27:281;147;41,49756971;1,76035639;11582,2801385596;20,421875;307,53479;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;268;-128;-32;1340;106,7267;No alert, no SPI, aircraft airbone;
00:02:31:273;151;41,49477222;1,77265855;11582,290535531;19,90625;308,150024;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;268;-96;0;1340;106,7487;No alert, no SPI, aircraft airbone;
00:02:35:281;155;41,49196260;1,78494012;11582,3004995082;19,394531;308,798218;5307;380;7380C0;ELY028;1013;-0,352;106,699;522;0;478;99,667969;267;128;-32;1340;106,8036;No alert, no SPI, aircraft airbone;
00:02:39:289;159;41,48919291;1,79726553;11582,3101112982;18,886719;309,49585;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;128;-32;1340;106,7926;No alert, no SPI, aircraft airbone;
00:02:43:297;163;41,48644342;1,80950615;11582,3192505082;18,386719;310,231934;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;-64;-32;1340;106,8201;No alert, no SPI, aircraft airbone;
00:02:47:305;167;41,48362980;1,82181753;11582,328012811;17,886719;311,011963;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;-64;-64;1340;106,8365;No alert, no SPI, aircraft airbone;
00:02:51:320;171;41,48084242;1,83407175;11582,3363330979;17,394531;311,841431;5307;380;7380C0;ELY028;1013;0;106,699;520;0;478;99,667969;267;-128;-32;1340;106,864;No alert, no SPI, aircraft airbone;
00:02:55:328;175;41,47808937;1,84636814;11574,7242919533;16,90625;312,736816;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;32;-64;1340;106,6223;No alert, no SPI, aircraft airbone;
00:02:59:336;179;41,47540227;1,85860837;11574,7318294505;16,429688;313,69812;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;267;-160;0;1340;106,6168;No alert, no SPI, aircraft airbone;
00:03:03:352;183;41,47262775;1,87095539;11574,7389951246;15,953125;314,725342;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;267;64;0;1340;106,6333;No alert, no SPI, aircraft airbone;
00:03:07:367;187;41,46990199;1,88321269;11574,7457115985;15,488281;315,823975;5307;379,75;7380C0;ELY028;1013;0;106,875;520;0,031;476;99,84375;267;32;0;1340;106,7267;No alert, no SPI, aircraft airbone;
00:03:11:383;191;41,46711229;1,89551794;11574,7520238981;15,027344;316,999512;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;267;32;32;1340;106,7487;No alert, no SPI, aircraft airbone;
00:03:15:398;195;41,46435054;1,90781317;11582,3779314682;14,578125;318,268433;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;266;256;32;1340;106,7542;No alert, no SPI, aircraft airbone;
00:03:19:414;199;41,46152169;1,92014708;11582,3834241275;14,132812;319,630737;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;266;-96;32;1340;106,7706;No alert, no SPI, aircraft airbone;
00:03:23:430;203;41,45878211;1,93241704;11582,3885075506;13,703125;321,108398;5307;380;7380C0;ELY028;1013;-0,352;106,699;520;-0,031;474;99,84375;264;224;-32;1340;106,7761;No alert, no SPI, aircraft airbone;
00:03:27:445;207;41,45602550;1,94480050;11582,3932270743;13,28125;322,723389;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,019531;264;0;-32;1340;106,7432;No alert, no SPI, aircraft airbone;
00:03:31:469;211;41,45324773;1,95718431;11582,3975232262;12,871094;324,470215;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;265;288;-32;1340;106,7267;No alert, no SPI, aircraft airbone;
00:03:35:484;215;41,45051947;1,96949012;11574,7813916439;12,476562;326,359863;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;265;-160;-32;1340;106,6992;No alert, no SPI, aircraft airbone;
00:03:39:508;220;41,44775336;1,98188929;11582,4048678093;12,097656;328,425293;5307;380;7380C0;ELY028;1013;0,352;106,875;524;0,031;476;100,371094;266;128;0;1340;106,6772;No alert, no SPI, aircraft airbone;
00:03:43:531;224;41,44497977;1,99422108;11582,4079037877;11,734375;330,655518;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;267;160;0;1340;106,6937;No alert, no SPI, aircraft airbone;
00:03:47:570;228;41,44223921;2,00678581;11582,410601221;11,386719;333,143921;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;266;32;0;1340;106,6388;No alert, no SPI, aircraft airbone;
00:03:51:602;232;41,43942852;2,01921988;11582,4128160924;11,058594;335,808105;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;268;-64;0;1340;106,6498;No alert, no SPI, aircraft airbone;
00:03:55:633;236;41,43669712;2,03181912;11582,4146698797;10,753906;338,763428;5307;380;7380C0;ELY028;1013;0;106,875;526;0;480;100,371094;268;-224;-32;1340;106,5894;No alert, no SPI, aircraft airbone;
00:03:59:672;240;41,43392393;2,04436077;11582,4160693632;10,472656;341,949463;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;268;32;-32;1340;106,5729;No alert, no SPI, aircraft airbone;
00:04:03:703;244;41,43103684;2,05665869;11582,4169755969;10,214844;345,311279;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;268;128;-64;1340;106,6608;No alert, no SPI, aircraft airbone;
00:04:07:750;248;41,42818409;2,06919132;11582,4175052382;9,984375;349,019165;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,371094;269;288;-32;1340;106,6772;No alert, no SPI, aircraft airbone;
00:04:11:797;252;41,42534813;2,08171290;11582,4176133871;9,785156;352,996216;5307;380;7380C0;ELY028;1013;-0,352;107,051;526;-0,031;480;100,195312;268;-160;-64;1340;106,7102;No alert, no SPI, aircraft airbone;
00:04:15:844;256;41,42246564;2,09431305;11574,7972847968;9,613281;357,258911;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;269;-192;-32;1340;106,7102;No alert, no SPI, aircraft airbone;
00:04:19:898;260;41,41962760;2,10689169;11574,7965385998;9,480469;1,752319;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;270;-32;-32;1340;106,6992;No alert, no SPI, aircraft airbone;
00:04:23:945;264;41,41685968;2,11951539;11574,7953798529;9,386719;6,454468;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;270;64;-96;1340;106,6882;No alert, no SPI, aircraft airbone;
00:04:28:008;268;41,41383635;2,13253741;11582,41368578;9,324219;11,464233;5307;380;7380C0;ELY028;1013;0,176;106,875;526;0,031;484;100,195312;269;192;-64;1340;106,7267;No alert, no SPI, aircraft airbone;
00:04:32:055;272;41,41092638;2,14519069;11582,4116070531;9,300781;16,413574;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;267;-64;-64;1340;106,842;No alert, no SPI, aircraft airbone;
00:04:36:109;276;41,40812989;2,15718596;11582,4092262797;9,3125;21,121216;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,195312;269;32;-32;1340;106,9849;No alert, no SPI, aircraft airbone;
00:04:40:164;280;41,40528182;2,16955233;11574,7863726374;9,359375;25,911255;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,019531;268;-160;-96;1340;107,0947;No alert, no SPI, aircraft airbone;
00:04:44:219;284;41,40237405;2,18184211;11574,7831076179;9,441406;30,569458;5307;379,75;7380C0;ELY028;1013;-1,230;107,227;524;-0,031;476;99,667969;267;-96;-32;1340;107,2101;No alert, no SPI, aircraft airbone;
00:04:48:266;288;41,39955069;2,19398586;11574,7794917962;9,558594;34,991455;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;267;160;32;1340;107,1222;No alert, no SPI, aircraft airbone;
00:04:52:313;292;41,39669234;2,20629867;11574,7754187807;9,710938;39,259644;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;266;0;64;1340;107,0618;No alert, no SPI, aircraft airbone;
00:04:56:359;296;41,39396282;2,21855921;11574,7709804252;9,898438;43,231201;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;0;96;1340;106,8036;No alert, no SPI, aircraft airbone;
00:05:00:406;300;41,39105760;2,23124778;11574,765939597;10,121094;47,092896;5307;379,75;7380C0;ELY028;1013;0;106,699;522;0;482;99,492188;269;96;64;1340;106,6992;No alert, no SPI, aircraft airbone;
00:05:04:445;304;41,38827922;2,24370444;11574,7605811097;10,371094;50,586548;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;269;96;32;1340;106,6992;No alert, no SPI, aircraft airbone;
00:05:08:484;308;41,38558467;2,25602276;11582,374877668;10,648438;53,761597;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;269;160;0;1340;106,6992;No alert, no SPI, aircraft airbone;
00:05:12:516;313;41,38266998;2,26847110;11582,3686570702;10,945312;56,777344;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,019531;269;160;-64;1340;106,7542;No alert, no SPI, aircraft airbone;
00:05:16:547;317;41,37970681;2,28096754;11582,3619833207;11,265625;59,573364;5307;380;7380C0;ELY028;1013;0,352;107,051;522;0;482;100,019531;269;-32;-64;1340;106,908;No alert, no SPI, aircraft airbone;
00:05:20:578;321;41,37663694;2,29348092;11582,3548587458;11,605469;62,177124;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,019531;268;-160;-32;1340;106,9409;No alert, no SPI, aircraft airbone;
00:05:24:602;325;41,37367537;2,30597390;11574,7273422405;11,964844;64,533691;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;100,019531;266;-160;-32;1340;107,0453;No alert, no SPI, aircraft airbone;
00:05:28:633;329;41,37074181;2,31832595;11574,7194943354;12,339844;66,676025;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,84375;265;-64;0;1340;107,0782;No alert, no SPI, aircraft airbone;
00:05:32:656;333;41,36777126;2,33063278;11582,3312569205;12,730469;68,653564;5307;380;7380C0;ELY028;1013;0;107,227;522;0;476;99,84375;266;416;0;1340;107,1332;No alert, no SPI, aircraft airbone;
00:05:36:680;337;41,36482457;2,34290790;11582,322635456;13,132812;70,466309;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,667969;267;32;32;1340;107,1826;No alert, no SPI, aircraft airbone;
00:05:40:695;341;41,36186327;2,35525339;11582,3135539051;13,550781;72,147217;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;267;0;0;1340;107,2485;No alert, no SPI, aircraft airbone;
00:05:44:711;345;41,35893867;2,36752128;11574,6841235729;13,976562;73,685303;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,140625;268;-256;0;1340;107,265;No alert, no SPI, aircraft airbone;
00:05:48:727;349;41,35598256;2,37972828;11582,2943296563;14,414062;75,113525;5307;380;7380C0;ELY028;1013;-1,055;107,227;522;-0,031;478;98,964844;269;96;0;1340;107,2815;No alert, no SPI, aircraft airbone;
00:05:52:742;353;41,35310693;2,39200109;11582,2840889283;14,863281;76,420898;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;98,789062;267;32;-32;1340;107,2705;No alert, no SPI, aircraft airbone;
00:05:56:758;357;41,35022574;2,40424751;11582,2734616958;15,320312;77,634888;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;98,789062;269;-160;32;1340;107,243;No alert, no SPI, aircraft airbone;
00:06:00:773;361;41,34740721;2,41650933;11574,6424211441;15,785156;78,75;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;98,964844;271;-416;0;1340;107,1936;No alert, no SPI, aircraft airbone;
00:06:04:781;365;41,34456390;2,42874731;11574,6309915325;16,257812;79,793701;5307;379,75;7380C0;ELY028;1013;0,527;106,699;520;0;484;99,140625;270;-160;0;1340;106,6553;No alert, no SPI, aircraft airbone;
00:06:08:797;369;41,34180544;2,44099288;11574,6191564174;16,738281;80,749512;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;271;160;0;1340;106,6278;No alert, no SPI, aircraft airbone;
00:06:12:805;373;41,33907993;2,45314480;11582,2270093411;17,222656;81,633911;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;271;-224;-32;1340;106,5839;No alert, no SPI, aircraft airbone;
00:06:16:820;377;41,33628008;2,46540201;11582,2143451432;17,714844;82,479858;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;271;192;-32;1340;106,6113;No alert, no SPI, aircraft airbone;
00:06:20:828;381;41,33348177;2,47753623;11582,2014033925;18,207031;83,270874;5307;380;7380C0;ELY028;1013;0;107,051;518;0;484;99,492188;269;96;-32;1340;106,6113;No alert, no SPI, aircraft airbone;
00:06:24:836;385;41,33075504;2,48973379;11582,1879971214;18,707031;84,001465;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;268;-128;-32;1340;106,5894;No alert, no SPI, aircraft airbone;
00:06:28:844;389;41,32796849;2,50183789;11582,174287254;19,207031;84,699097;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;264;-352;-32;1340;106,5894;No alert, no SPI, aircraft airbone;
00:06:32:852;393;41,32517433;2,51394055;11582,1601802455;19,710938;85,358276;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,492188;264;-192;-64;1340;106,6168;No alert, no SPI, aircraft airbone;
00:06:36:859;397;41,32232993;2,52608189;11574,525625783;20,21875;85,98999;5307;379,75;7380C0;ELY028;1013;-0,352;107,227;516;0;474;99,492188;264;-192;-32;1340;107,2375;No alert, no SPI, aircraft airbone;
00:06:40:867;401;41,31950343;2,53811001;11574,5108119305;20,726562;86,583252;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;265;-160;0;1340;107,2211;No alert, no SPI, aircraft airbone;
00:06:44:883;405;41,31665412;2,55015562;11574,4955821326;21,238281;87,149048;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;264;32;32;1340;107,1332;No alert, no SPI, aircraft airbone;
00:06:48:883;409;41,31379391;2,56222235;11574,4799306728;21,753906;87,687378;5307;379,75;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;263;96;64;1340;107,1332;No alert, no SPI, aircraft airbone;
00:06:52:891;413;41,31090008;2,57428839;11582,0838840799;22,273438;88,203735;5307;380;7380C0;ELY028;1013;-0,176;107,227;516;0;470;99,316406;263;224;32;1340;107,2375;No alert, no SPI, aircraft airbone;
00:06:56:898;417;41,30805328;2,58640926;11582,0673686108;22,796875;88,687134;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;264;-128;64;1340;107,2101;No alert, no SPI, aircraft airbone;
00:07:00:898;421;41,30519567;2,59856358;11582,0504067978;23,324219;89,14856;5307;380;7380C0;ELY028;1013;N/A;N/A;N/A;N/A;N/A;99,316406;266;-192;32;1340;107,1002;No alert, no SPI, aircraft airbone;
00:08:58:172;538;40,90066161;1,90183569;1806,07496938482;25,671875;200,802612;4413;59,25;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;18,28125;251;-1728;-1728;1687;19,9622;No alert, no SPI, aircraft airbone;
00:09:02:172;542;40,90543383;1,90409467;1767,97165747732;25,367188;200,813599;4413;58;3444CF;VLG7479;1018;0,176;19,863;272;0;278;18,808594;253;-1664;-1536;1687;19,7644;No alert, no SPI, aircraft airbone;
00:09:06:172;546;40,91020800;1,90635772;1737,48838794604;25,0625;200,824585;4413;57;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;18,984375;252;-1280;-1216;1687;19,8358;No alert, no SPI, aircraft airbone;
00:09:10:172;550;40,91492311;1,90859443;1714,62520091515;24,761719;200,835571;4413;56,25;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;251;-1088;-1088;1687;20,105;No alert, no SPI, aircraft airbone;
00:09:14:172;554;40,91956533;1,91085292;1699,38213379774;24,464844;200,841064;4413;55,75;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;250;-960;-928;1687;20,2533;No alert, no SPI, aircraft airbone;
00:09:18:172;558;40,92426814;1,91314331;1684,13906753808;24,164062;200,846558;4413;55,25;3444CF;VLG7479;1018;0,176;20,391;268;0,156;272;19,160156;250;-576;-768;1687;20,4016;No alert, no SPI, aircraft airbone;
00:09:22:180;562;40,92889613;1,91545182;1668,89611795172;23,867188;200,846558;4413;54,75;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,335938;249;-672;-768;1687;20,4016;No alert, no SPI, aircraft airbone;
00:09:26:180;566;40,93352409;1,91776067;1653,65320635401;23,570312;200,846558;4413;54,25;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,335938;250;-864;-832;1687;20,3302;No alert, no SPI, aircraft airbone;
00:09:30:180;570;40,93816256;1,92002268;1630,79029898066;23,273438;200,852051;4413;53,5;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;252;-960;-896;1687;20,3302;No alert, no SPI, aircraft airbone;
00:09:34:180;574;40,94278767;1,92233146;1607,92746570613;22,976562;200,852051;4413;52,75;3444CF;VLG7479;1018;0,176;20,391;268;0;272;19,160156;251;-960;-992;1687;20,3302;No alert, no SPI, aircraft airbone;
00:09:38:180;578;40,94742817;1,92459719;1592,68463513069;22,679688;200,857544;4413;52,25;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;250;-1024;-1056;1687;20,3302;No alert, no SPI, aircraft airbone;
00:09:42:180;582;40,95212666;1,92689356;1569,82180959173;22,378906;200,863037;4413;51,5;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;18,984375;250;-960;-1056;1687;20,3302;No alert, no SPI, aircraft airbone;
00:09:46:195;586;40,95676383;1,92916099;1546,95906008314;22,082031;200,86853;4413;50,75;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;250;-1088;-992;1687;20,3302;No alert, no SPI, aircraft airbone;
00:09:50:195;590;40,96140323;1,93143121;1531,71634845901;21,785156;200,874023;4413;50,25;3444CF;VLG7479;1018;0;20,215;268;0;270;18,984375;250;-960;-992;1687;20,127;No alert, no SPI, aircraft airbone;
00:09:54:188;594;40,96605184;1,93365928;1508,853647504;21,488281;200,88501;4413;49,5;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;251;-1088;-1024;1687;20,127;No alert, no SPI, aircraft airbone;
00:09:58:188;598;40,97069976;1,93589002;1485,99098741822;21,191406;200,895996;4413;48,75;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;249;-992;-992;1687;19,9237;No alert, no SPI, aircraft airbone;
00:09:58:930;599;41,28274624;1,50124019;7954,7682523299;27,546875;267,929077;5073;261;39944D;TLJ562N;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1743;68,0273;No alert, no SPI, aircraft airbone;
00:10:02:188;602;40,97534957;1,93812472;1470,7483666772;20,894531;200,906982;4413;48,25;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,335938;250;-1024;-992;1687;19,9237;No alert, no SPI, aircraft airbone;
00:10:02:938;603;41,28539171;1,51010451;7909,06316854618;27,140625;268,231201;5073;259,5;39944D;TLJ562N;N/A;-0,176;68,555;388;0;388;N/A;N/A;N/A;N/A;1743;68,0988;No alert, no SPI, aircraft airbone;
00:10:06:188;606;40,97998441;1,94040138;1447,88581578154;20,597656;200,912476;4413;47,5;3444CF;VLG7479;1018;0,176;20,039;268;0,062;268;19,335938;250;-1120;-960;1687;19,9237;No alert, no SPI, aircraft airbone;
00:10:06:938;607;41,28809157;1,51897061;7855,73787889071;26,734375;268,549805;5073;257,75;39944D;TLJ562N;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1743;68,1702;No alert, no SPI, aircraft airbone;
00:10:10:188;610;40,98464194;1,94259954;1425,02324996609;20,300781;200,928955;4413;46,75;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,160156;250;-992;-960;1687;20,127;No alert, no SPI, aircraft airbone;
00:10:10:945;611;41,29075595;1,52778599;7810,0323001612;26,332031;268,873901;5073;256,25;39944D;TLJ562N;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1743;68,2086;No alert, no SPI, aircraft airbone;
00:10:14:188;614;40,98928966;1,94484224;1409,78075098712;20,003906;200,939941;4413;46,25;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,335938;248;-960;-1024;1687;19,8523;No alert, no SPI, aircraft airbone;
00:10:14:945;615;41,29338465;1,53660824;7756,70652795117;25,929688;269,203491;5073;254,5;39944D;TLJ562N;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1743;68,269;No alert, no SPI, aircraft airbone;
00:10:18:188;618;40,99400622;1,94707811;1386,91823686473;19,703125;200,956421;4413;45,5;3444CF;VLG7479;1018;N/A;N/A;N/A;N/A;N/A;19,335938;249;-1024;-1024;1687;20,0555;No alert, no SPI, aircraft airbone;
00:10:18:953;619;41,29613603;1,54536191;7703,38044130243;25,53125;269,560547;5073;252,75;39944D;TLJ562N;N/A;-1,230;67,324;384;0;380;N/A;N/A;N/A;N/A;1743;68,2306;No alert, no SPI, aircraft airbone;
00:10:22:188;622;40,99864981;1,94932546;1364,05582110677;19,40625;200,967407;4413;44,75;3444CF;VLG7479;1018;-0,879;20,039;268;0;266;19,6875;248;-1120;-992;1687;20,0555;No alert, no SPI, aircraft airbone;
00:10:22:953;623;41,29880371;1,55406863;7657,67408081144;25,136719;269,917603;5073;251,25;39944D;TLJ562N;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1743;68,2251;No alert, no SPI, aircraft airbone;
